Condition,OH,WV,CA,FL,GA,SC,NE,IA,IL,MO,WI,IN,MI,NJ,NY,CT,MA,RI,NH,PA,KY,MD,VA,DC,DE,TX,WA,OR,AL,TN,NC,KS,LA,OK,CO,UT,AZ,MN,MS,NV,ME,AR,ID,VT,NM,ND,WY,SD,MT
Amenity,941,3,5330,914,513,791,392,56,1666,127,167,252,764,363,3888,159,1039,24,41,2193,341,463,953,453,64,6002,5529,1770,182,1109,2422,3,462,570,832,191,882,83,13,40,2,10,0,5,77,0,1,0,0
Bump,5,0,174,8,0,1,12,0,0,1,2,6,1,0,2,0,1,0,0,8,7,11,0,0,3,58,21,79,0,3,37,0,0,49,53,1,59,0,0,0,0,0,0,0,4,0,0,0,0
Crossing,4601,20,26045,30176,4970,6827,6801,181,6768,571,869,2347,4448,1705,7618,588,2281,50,159,10051,1573,2518,5639,672,571,25459,9869,7065,1059,6370,28370,154,1544,16709,9965,4302,31169,2737,238,1257,8,30,34,10,121,0,3,1,3
Give_Way,30,2,680,297,150,18,135,21,2,219,84,127,4,23,498,42,39,4,5,1165,5,60,879,3,16,1988,291,41,316,37,1182,13,4,301,353,2,158,224,105,26,13,0,0,0,2,0,0,0,0
Junction,4540,345,109868,14729,7683,6339,212,675,6170,6249,1906,1700,8277,5344,18175,2887,4430,1850,323,5139,1688,6284,7404,634,197,17905,3820,4032,1414,4446,6944,1522,1718,1204,2954,1848,2830,8723,538,347,191,312,143,21,341,8,53,4,83
No_Exit,47,0,339,367,10,66,139,2,106,41,70,51,113,25,118,3,26,0,1,157,10,29,68,0,28,378,282,48,6,100,321,1,113,135,451,6,680,38,0,9,0,0,0,0,0,0,0,0,0
Railway,162,17,9296,1018,513,2116,59,29,1667,89,63,196,284,285,1279,29,353,86,16,757,43,128,236,73,39,3076,1447,1495,113,270,2348,14,1359,465,303,183,1071,159,0,4,0,13,8,0,11,0,1,0,2
Station,1344,0,16181,8079,355,674,576,8,5598,210,94,370,644,408,3371,18,2838,2,65,1291,963,1407,927,260,9,5018,4807,3290,320,327,5338,0,206,1455,1001,113,1376,1232,40,62,1,0,0,2,41,0,0,0,0
Stop,216,3,14782,941,346,1365,899,76,1336,122,193,242,215,143,2032,140,235,13,131,3345,233,222,648,95,129,5859,2024,1200,339,319,1861,17,27,6132,1449,343,3442,555,65,185,3,5,4,8,36,0,1,0,0
Traffic_Signal,11700,54,66480,72367,10276,24503,9575,1047,34763,3461,1708,6500,11095,6989,24191,917,4977,541,443,21806,3798,7836,16555,1472,1607,94696,11923,5999,8759,8389,60311,287,4738,21755,11647,8283,32538,4684,946,2364,8,32,51,17,1514,1,5,8,7