state,temperature,humidity,accidents,population,visibility
AL,66.919484,68.829526,44625,4903185,9.066
AR,62.531729,74.237722,2012,6392017,8.695
AZ,75.710751,31.255152,78584,7278717,10.695
CA,64.972313,59.566181,816825,39512223,9.150
CO,48.828709,53.298491,49731,5758736,12.974
CT,53.648502,66.282544,25901,3565287,8.896
DC,59.778882,64.631802,4820,705749,9.481
DE,57.023645,67.794751,5739,973764,9.127
FL,75.368729,73.089947,258002,21477737,9.426
GA,65.343688,68.563230,93614,10617423,9.007
IA,48.044378,71.756117,11475,3155070,8.618
ID,50.248567,60.328713,2044,1787065,8.807
IL,52.047952,69.223000,99692,12671821,8.731
IN,54.501243,74.173380,33746,6732219,8.783
KS,56.756222,70.687043,7939,2913314,8.774
KY,58.459441,69.935028,22553,4467673,8.804
LA,71.729769,70.115742,61515,4648794,9.035
MA,51.345934,67.288379,39044,6949503,8.692
MD,57.477447,67.574151,53593,6045680,8.875
ME,50.294858,69.469765,2243,1344212,8.379
MI,50.381913,70.261333,95983,9986857,8.542
MN,39.768319,70.984470,81863,5639632,8.415
MO,57.076073,68.505209,33643,6137428,8.925
MS,66.542299,72.665477,6585,2976149,8.922
MT,32.237769,69.673190,512,1068778,7.795
NC,63.364943,66.844390,165958,10488084,9.052
ND,42.483721,66.139535,44,762062,8.334
NE,54.341196,66.687287,23970,1934408,9.190
NH,47.898077,68.221420,7984,1359711,8.195
NJ,55.858550,66.500996,59059,8882190,8.712
NM,59.618050,38.901035,5523,2096829,9.774
NV,59.245684,41.004819,10643,3080156,9.629
NY,53.749160,66.930556,160817,19453561,8.950
OH,53.421258,72.862427,66139,11689100,8.721
OK,63.663190,62.231780,60003,3956971,9.368
OR,53.037263,68.724877,90122,4217737,8.877
PA,55.051521,69.593380,106787,12801989,8.650
RI,54.062694,68.368356,11753,1059361,8.883
SC,65.409989,67.946837,173277,5148714,9.044
SD,41.633333,73.583333,61,884659,8.123
TN,62.085779,68.499086,69895,6833174,9.009
TX,70.887868,64.332035,329284,28995881,9.167
UT,51.418052,55.455004,51685,3205958,9.096
VA,59.774498,68.713535,96075,8535519,9.101
VT,44.069154,71.328551,702,623989,7.775
WA,54.322343,72.294848,68544,7614893,9.112
WI,46.054374,70.780168,20120,5822434,8.457
WV,56.619872,71.879318,2381,1792147,8.422
WY,36.949900,66.243513,508,578759,8.697